[40, -31]^[40, -24]
[40, -24]^[43, -24]
[40, -31]^[40, -30]
[40, -30]^[29, -30]
[40, -31]^[40, -20]
[40, -20]^[33, -20]
[40, -31]^[40, -44]
[40, -44]^[49, -44]
[29, 33]^[29, 22]
[29, 22]^[25, 22]
[29, 33]^[29, 46]
[29, 46]^[24, 46]
[29, 33]^[29, 33]
[29, 33]^[11, 33]
[29, 33]^[29, 10]
[29, 10]^[22, 10]
[40, -7]^[40, -10]
[40, -10]^[41, -10]
[40, -7]^[40, -11]
[40, -11]^[48, -11]
[40, -7]^[40, -4]
[40, -4]^[49, -4]
[-39, 11]^[-39, 7]
[-39, 7]^[-41, 7]
[-39, 11]^[-39, 2]
[-39, 2]^[-36, 2]
[-39, 11]^[-39, 2]
[-39, 2]^[-49, 2]
[-39, 11]^[-39, 1]
[-39, 1]^[-28, 1]
[29, -30]^[29, -20]
[29, -20]^[33, -20]
[29, -30]^[29, -24]
[29, -24]^[43, -24]
[15, -11]^[15, 1]
[15, 1]^[8, 1]
[15, -11]^[15, 0]
[15, 0]^[6, 0]
[15, -11]^[15, 4]
[15, 4]^[14, 4]
[15, -11]^[15, -28]
[15, -28]^[5, -28]
[-4, 43]^[-4, 35]
[-4, 35]^[1, 35]
[-4, 43]^[-4, 27]
[-4, 27]^[-10, 27]
[-4, 43]^[-4, 33]
[-4, 33]^[11, 33]
[-4, 43]^[-4, 33]
[-4, 33]^[-24, 33]
[-40, 29]^[-40, 33]
[-40, 33]^[-46, 33]
[-40, 29]^[-40, 33]
[-40, 33]^[-24, 33]
[-40, 29]^[-40, 38]
[-40, 38]^[-26, 38]
[-40, 29]^[-40, 7]
[-40, 7]^[-41, 7]
[8, 1]^[8, 0]
[8, 0]^[6, 0]
[8, 1]^[8, 4]
[8, 4]^[14, 4]
[11, 33]^[11, 35]
[11, 35]^[1, 35]
[11, 33]^[11, 22]
[11, 22]^[25, 22]
[-41, 7]^[-41, 2]
[-41, 2]^[-36, 2]
[-9, 19]^[-9, 16]
[-9, 16]^[-14, 16]
[-9, 19]^[-9, 19]
[-9, 19]^[-3, 19]
[-9, 19]^[-9, 22]
[-9, 22]^[-16, 22]
[-14, -27]^[-14, -24]
[-14, -24]^[-10, -24]
[-14, -27]^[-14, -33]
[-14, -33]^[-13, -33]
[-14, -27]^[-14, -23]
[-14, -23]^[-22, -23]
[-49, 2]^[-49, 2]
[-49, 2]^[-36, 2]
[-49, 2]^[-49, 1]
[-49, 1]^[-28, 1]
[-49, 2]^[-49, -11]
[-49, -11]^[-30, -11]
[5, -28]^[5, -24]
[5, -24]^[-10, -24]
[5, -28]^[5, -44]
[5, -44]^[4, -44]
[5, -28]^[5, -45]
[5, -45]^[-2, -45]
[33, -20]^[33, -24]
[33, -24]^[43, -24]
[33, -20]^[33, -10]
[33, -10]^[41, -10]
[-26, 38]^[-26, 33]
[-26, 33]^[-24, 33]
[-26, 38]^[-26, 22]
[-26, 22]^[-16, 22]
[49, -11]^[49, -11]
[49, -11]^[48, -11]
[49, -11]^[49, -4]
[49, -4]^[49, -4]
[49, -11]^[49, -10]
[49, -10]^[41, -10]
[49, -11]^[49, 9]
[49, 9]^[32, 9]
[24, 46]^[24, 22]
[24, 22]^[25, 22]
[24, 46]^[24, 35]
[24, 35]^[1, 35]
[24, 46]^[24, 10]
[24, 10]^[22, 10]
[-14, 16]^[-14, 22]
[-14, 22]^[-16, 22]
[-14, 16]^[-14, 19]
[-14, 19]^[-3, 19]
[6, 0]^[6, 4]
[6, 4]^[14, 4]
[2, 14]^[2, 19]
[2, 19]^[-3, 19]
[2, 14]^[2, 27]
[2, 27]^[-10, 27]
[2, 14]^[2, 10]
[2, 10]^[22, 10]
[2, 14]^[2, 35]
[2, 35]^[1, 35]
[-24, 33]^[-24, 27]
[-24, 27]^[-10, 27]
[-2, -45]^[-2, -44]
[-2, -44]^[4, -44]
[-2, -45]^[-2, -33]
[-2, -33]^[-13, -33]
[32, 9]^[32, -4]
[32, -4]^[49, -4]
[32, 9]^[32, -11]
[32, -11]^[48, -11]
[32, 9]^[32, 19]
[32, 19]^[-3, 19]
[-43, -48]^[-43, -48]
[-43, -48]^[-34, -48]
[-43, -48]^[-43, -36]
[-43, -36]^[-24, -36]
[-43, -48]^[-43, -23]
[-43, -23]^[-22, -23]
[-43, -48]^[-43, -33]
[-43, -33]^[-13, -33]
[49, -4]^[49, -44]
[49, -44]^[49, -44]
[4, -44]^[4, -46]
[4, -46]^[24, -46]
[4, -44]^[4, -24]
[4, -24]^[-10, -24]
[-46, 33]^[-46, 1]
[-46, 1]^[-28, 1]
[-46, 33]^[-46, -11]
[-46, -11]^[-30, -11]
[-10, -24]^[-10, -23]
[-10, -23]^[-22, -23]
[-34, -48]^[-34, -36]
[-34, -36]^[-24, -36]
[-34, -48]^[-34, -23]
[-34, -23]^[-22, -23]
[-24, -36]^[-24, -11]
[-24, -11]^[-30, -11]
[45, -48]^[45, -44]
[45, -44]^[49, -44]
[45, -48]^[45, -46]
[45, -46]^[24, -46]
[45, -48]^[45, -11]
[45, -11]^[-30, -11]
[-28, 1]^[-28, -46]
[-28, -46]^[24, -46]
